fname,dialogue,summary
test_10,"#Person1#: Where are you going for your trip?
#Person2#: I think Hebei is a good place.
#Person1#: But I heard the north of China are experiencing severe sandstorms!
#Person2#: Really?
#Person1#: Yes, it's said that Hebes was experiencing six degree strong winds.
#Person2#: How do these storms affect the people who live in these areas?
#Person1#: The report said the number of people with respiratory tract infections tended to rise after sandstorms. The sand gets into people's noses and throats and creates irritation.
#Person2#: It sounds that sandstorms are trouble for everybody!
#Person1#: You are quite right.",#Person1# tells #Person2# about the severe sandstorms in Hebei. #Person2# feels it's trouble for everybody.
test_11,"#Person1#: Welcome to my birthday party, I am so happy you can come.
#Person2#: Thanks for inviting me. Here is the gift for you. Happy birthday, Francis! Many more happy and healthy years for you!
#Person1#: Thank you, shall I open it now?
#Person2#: Yes, please do.
#Person1#: Wow, a remote car model and my favorite brand. I really like it. That is so nice of you.
#Person2#: Yeah, I was really struggling whether I should give you this nice little car. It was the last one they had and I really like it so much myself.
#Person1#: Typical you, always wanting to keep the best things for yourself. The more I appreciate the gift now.",#Person2# gives Francis a remote car model as a birthday gift. Francis likes it very much.
test_12,"#Person1#: Hi, Tony. You look unhappy. What's wrong?
#Person2#: Oh, Steven, I made a big mistake.
#Person1#: What happened?
#Person2#: I really wish I hadn't done it.
#Person1#: What on earth are you talking about?
#Person2#: I got caught cheating. I feel so ashamed. The teacher saw me and told me I failed.
#Person1#: What were you thinking?
#Person2#: You know my father. If I fail, he'll kill me. I have to do well.
#Person1#: But what you should do is study hard.
#Person2#: I know. . . I know. . . it's all my fault. I feel awful that I didn't study, and I cheated, and I got caught.
#Person1#: So long as you learn from your mistakes.",Tony tells Steven he cheated in the test and got caught. Steven thinks Tony should study hard instead of cheating.
test_13,"#Person1#: What time is it, Tom?
#Person2#: Just a minute. It's ten to nine by my watch.
#Person1#: Is it? I had no idea it was so late. I must be off now.
#Person2#: What's the hurry?
#Person1#: I must catch the nine-thirty train.
#Person2#: You've plenty of time yet. The railway station is very close. It won't take more than twenty minutes to get there.",#Person1# must catch the nine-thirty train. Tom thinks #Person1# has plenty of time.
test_14,"#Person1#: I don't know how to adjust my life. Would you give me a piece of advice?
#Person2#: You look a bit pale, don't you?
#Person1#: Yes, I can't sleep well every night.
#Person2#: You should get plenty of sleep.
#Person1#: I drink a lot of wine.
#Person2#: If I were you, I wouldn't drink too much.
#Person1#: I often feel so tired.
#Person2#: You better do some exercise every morning.
#Person1#: I sometimes find the shadow of death in front of me.
#Person2#: Why do you worry about your future? You're very young, and you'll make great contribution to the world. I hope you take my advice.","#Person1# asks #Person2# for advice on how to adjust #Person1#'s life. #Person2# suggests #Person1# sleep well, exercise, and don't worry about the future."
test_15,"#Person1#: Would you like to go to the party tonight?
#Person2#: Whose party?
#Person1#: Ruojia's. Don't you know that? Ruojia has got married.
#Person2#: What! Is she really? I can't believe it!
#Person1#: Yes. Yesterday.
#Person2#: Good gracious. That's incredible! I feel so happy for her!
#Person1#: Yes, me too.
#Person2#: But how do you know that?
#Person1#: I saw the news from her twitter. And she sent an email about it.
#Person2#: What? I didn't receive it!
#Person1#: Maybe you should check your email.
#Person2#: Oh yes, I find it. Tonight at her home. Will you bring something?
#Person1#: Yes, a pair of wineglasses and a card to wish her happy marriage.
#Person2#: I will buy a tea set.",#Person1# invites #Person2# to Ruojia's party. #Person2# feels happy for Ruojia and will buy a tea set.
test_16,"#Person1#: Yeah. Just pull on this strip. Then peel off the back.
#Person2#: You might make a few enemies this way.
#Person1#: If they don't think this is fun, they're not meant to be our friends.
#Person2#: You mean your friends. I think it's cruel.
#Person1#: Yeah. But it's fun. Look at those two ugly old ladies. . . or are they men?
#Person2#: Hurry! Get a shot!. . . Hand it over!
#Person1#: I knew you'd come around. . .",#Person1# and #Person2# are playing a prank on some people. #Person2# thinks it's cruel but #Person1# thinks it's fun.
test_17,"#Person1#: What does your sister look like, Mike?
#Person2#: Well, she's tall and pretty.
#Person1#: Is she like you?
#Person2#: I suppose so. We're both friendly and easy-going.
#Person1#: Is she as clever as you?
#Person2#: No, she's not as clever as me.
#Person1#: Big head!",Mike describes his sister to #Person1#.
test_18,"#Person1#: Is anybody in?
#Person2#: How can I help you?
#Person1#: I have a headache.
#Person2#: Let me take your temperature with a thermometer.
#Person1#: OK.
#Person2#: I think you have a small fever.
#Person1#: I thought so. I felt dizzy this morning.
#Person2#: You should've called in sick! Next time, have either of your parents call the school office.",#Person1# has a headache. #Person2# thinks #Person1# has a small fever and asks #Person1# to call in sick next time.
test_19,"#Person1#: Can I help you?
#Person2#: I'd like to buy a new mobile phone please.
#Person1#: Ok, would you like a phone with camera and MP3 player?
#Person2#: Yes please. And I'd like to be able to make video calls too.","#Person2# wants to buy a phone with camera, MP3 player, and video call functions."
test_20,"#Person1#: Hey, Frank. I heard you got a new job.
#Person2#: Yeah, Judy. I will be working for the Post Office. It's not a bad job.
#Person1#: Is it true that you have a heavy work schedule?
#Person2#: That's right. I am supposed to work at 5am everyday, and I only get 45 minutes for lunch.
#Person1#: So, why did you apply for such a demanding job?
#Person2#: Well, the government offers its employees excellent health insurance benefits.
#Person1#: Oh, I see. And can your family members utilize the health insurance, too?
#Person2#: Yeah, that's the best part. All of my children can get free medical care.
#Person1#: That's a great employment benefit!
#Person2#: Now you know why I wanted to work for the Post Office!",Frank tells Judy he got a new job at the Post Office. Judy is surprised because the job is demanding. Frank says he wants to get the health insurance benefits.
test_21,"#Person1#: Do you have any special skills?
#Person2#: I can write computer programs, I have a good command of secretarial skills.
#Person1#: What qualifications have you got?
#Person2#: I have a doctor license and a driving license.
#Person1#: Do you get special training in office skills?
#Person2#: I passed both the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English. And studied for a year in London at the Lucas Secretarial College, ending with speeds of 120 words per minute in English shorthand and 50 words per minute in typing. I was also trained in office procedure.
#Person1#: Please tell me about work you have done, which qualifies you for this job.
#Person2#: I'Ve received some special training in typing, shorthand and operating a fax machine, etc. . I'm experienced in IBM-PC. I can operate familiarly a word-processor, a fax machine, a photo and other office equipment.","#Person2# tells #Person1# about #Person2#'s special skills, qualifications, and work experience which qualify #Person2# for this job."
test_22,"#Person1#: Excuse me.
#Person2#: Yes, sir. Can I help you?
#Person1#: Um, this steak, I asked for to be medium rare.
#Person2#: Medium rare, that's right, sir. I remember your order.
#Person1#: Well, I'm afraid it isn't. It's a bit too well done and rather tough. Would you mind changing?
#Person2#: If it is not to your satisfaction, I'll certainly bring you another. But I'm afraid you may have to wait for a few minutes.
#Person1#: Yes, that's all right. Thank you very much.",#Person1# tells #Person2# the steak he ordered is too well done. #Person2# will bring another.
test_23,"#Person1#: Tom, I've got good news for you.
#Person2#: What is it?
#Person1#: Haven't you heard that your novel has won The Nobel Prize?
#Person2#: Really? I can't believe it. It's like a dream come true. I never expected that I would win The Nobel Prize!
#Person1#: You did a good job. I'm extremely proud of you.
#Person2#: Thanks for the compliment.
#Person1#: You certainly deserve it. Let's celebrate!",#Person1# tells Tom his novel has won the Nobel Prize. Tom feels excited and thankful.
test_24,"#Person1#: What makes you think you are able to do the job?
#Person2#: My major is Automobile Designing and I have received my master's degree in science. I think I can do it well.
#Person1#: What kind of work were you responsible for in the past employment?
#Person2#: I am a student engineer who mainly took charge of understanding of the mechanical strength and corrosion resistance of various materials.",#Person1# interviews #Person2# about #Person2#'s qualifications for the job.
test_25,"#Person1#: Do you drink much?
#Person2#: Depending on what you consider a lot.
#Person1#: How frequently do you drink?
#Person2#: Couple times a week. How about you?
#Person1#: Only when I go out. I'm not a big drinker.
#Person2#: How much can you drink?
#Person1#: I usually only have 2 beers.
#Person2#: You're a light weight.
#Person1#: How much can you drink?
#Person2#: I'm usually drinking all night long. At least 10 drinks.
#Person1#: Don't you spend a lot of money then?
#Person2#: No. We usually go to places that have specials. Dante's over on the Ave has $ 5. 00 pitchers on Mondays. So for ten, fifteen bucks, I can get a lot of drinks.
#Person1#: That's true.
#Person2#: If you don't like beer, have you tried mixed drinks? Some of them are pretty good.
#Person1#: I like beer, it's just that I get a headache when I drink more than 3.
#Person2#: You just have to build up a tolerance. I used to be like that. But your body gets used to it.
#Person1#: It'll take awhile, but I'm working on it.
#Person2#: Hey let's go out tomorrow night. The Ram Bar and Grill is having a special on pitchers.
#Person1#: Alright.",#Person1# is a light drinker and #Person2# is a heavy drinker. #Person2# recommends #Person1# build up a tolerance to beer and invites #Person1# to the Ram Bar and Grill.
test_26,"#Person1#: May, do you mind helping me prepare for the picnic?
#Person2#: Sure. Have you checked the weather report?
#Person1#: Yes. It says it will be sunny all day. No sign of rain at all. This is your father's favorite sausage. Sandwiches for you and Daniel.
#Person2#: No, thanks Mom. I'd like some toast and chicken wings.
#Person1#: Okay. Please take some fruit salad and crackers for me.
#Person2#: Done. Oh, don't forget to take napkins disposable plates, cups and picnic blanket.
#Person1#: All set. May, can you help me take all these things to the living room?
#Person2#: Yes, madam.
#Person1#: Ask Daniel to give you a hand?
#Person2#: No, mom, I can manage it by myself. His help just causes more trouble.",May helps her mom prepare for a picnic. They have different tastes in food. May can manage it by herself.
test_27,"#Person1#: Hello, are you Muriel Douglas?
#Person2#: Yes, and you must be James. It's nice to meet you at long last.
#Person1#: Yes, you too. Thanks for agreeing to meet with us about the new account. My associate, Susan Kim, should be here any minute. Would you like something to drink while we're waiting?
#Person2#: No, thanks. I'm fine. Did you have a nice holiday?
#Person1#: Yes, I did. My family and I went to Tahoe to ski and the weather was great. How about you?
#Person2#: I stayed in L. A. and it was sunny the entire weekend. We spent most of the time at home but we did go see King Kong on Christmas day.
#Person1#: How did you like it?
#Person2#: It was better than I expected. But, you know, I think I would have enjoyed skiing in Tahoe even better. Do you go there often?
#Person1#: No, not much. My wife doesn't like to ski. She prefers vacationing where it's warmer, like Hawaii.
#Person2#: I don't blame her. I really enjoyed it there when we went a few years ago. I'd like to go back sometime soon.
#Person1#: Yes, me too. Oh, here's Susan now. Let me introduce you.",James and Susan are meeting Muriel Douglas to talk about the new account. They share their experiences of the holidays.
test_28,"#Person1#: Stupid girl, making me spend so much money, now I have to get it from the ATM...
#Person2#: Hello, welcome to Universal Bank. Please insert your card into the slot.
#Person1#: I know where to put my card! Stupid machine, talking to me like I ' m an idiot...
#Person2#: Please input your 6 digit PIN code followed by the pound key. Thank you. Please select an option. Thank you. You have selected withdrawal.
#Person1#: Yeah, yeah, I know what I selected. Just gimme my money!
#Person2#: Please type the amount you would like to withdraw. Thank you, you want to transfer 10000 USD to the World Wildlife Foundation. If this is correct please press 1.
#Person1#: No, no! Stupid machine, what are you doing! No!
#Person2#: Confirmed. Thank you for using our bank! Please remove your card from the slot. Goodbye!
#Person1#: No, no way! What happened? Give me my money!
#Person2#: Danger, danger! The exits have been sealed and the doors will remain locked in until the local authorities arrive. Thank you for using our bank. Have a nice day.",#Person1# is angry with the ATM that asks #Person1# to transfer 10000 USD to the World Wildlife Foundation and seals the exits.
test_29,"#Person1#: Are you a social person?
#Person2#: Yes, I am an outgoing person who likes to be with a lot of friends.
#Person1#: What is your strategy in communicating with colleagues?
#Person2#: Well, the most important thing in communication is your sincerity.",#Person2# tells #Person1# #Person2# is an outgoing person and the most important thing in communication is sincerity.
test_30,"#Person1#: What's wrong with you, Mr. Polly?
#Person2#: What's wrong? I want a break from this horrible job.
#Person1#: Then, buy a bottle of soft drink.
#Person2#: Would you like to buy a bottle for me in the shop?
#Person1#: It's a problem, because my boss is in that shop now.
#Person2#: Ok, I will go there myself.
#Person1#: Sorry, Mr. Polly.
#Person2#: It doesn't matter. Oh, God, I have only four dollars in my wallet. Is that possible for me to buy one?
#Person1#: Have a try.",Mr. Polly wants a break from his horrible job. #Person1# asks him to buy a bottle of soft drink but Mr. Polly has only four dollars.
test_31,"#Person1#: Hello, this is Francis.
#Person2#: Hi, this is Monica. I was wondering when we can work on this financial report.
#Person1#: Today, I am busy all day long.
#Person2#: Shall I see you on Friday morning?
#Person1#: That's not good for me at all. It'll have to be another time.
#Person2#: We must find some time to read report.
#Person1#: I know. I am available from 1 PM to 4 PM on Friday afternoon.
#Person2#: That's all right. Then see you on Friday afternoon.
#Person1#: See you.",Monica calls Francis to work on the financial report. Francis is busy today but they will meet on Friday afternoon.
test_32,"#Person1#: Is this the workshop to prepare for an interview?
#Person2#: This is the interview class. Welcome to our class.
#Person1#: I am really excited to be taking this workshop so that I can get ready for my interview next week.
#Person2#: We are all learning things that will help us in our interview. What do you think are some important considerations going into your interview?
#Person1#: I think that we should dress neatly and appropriately.
#Person2#: Yes. Second, as you can imagine, attitude and friendliness go a long way.
#Person1#: Yes, and I always feel much better when I am friendly.
#Person2#: Believe it or not, the interviewers are as interested in your questions as they are in your answers.
#Person1#: Any more hints as to what I should do in an interview?
#Person2#: Always be honest with your answers. The interviewers really do want to know if you will be a good fit for them.","#Person1# is taking the interview class and #Person1# thinks dressing neatly and appropriately, being friendly, and being honest are important considerations going into an interview."
test_33,"#Person1#: OK, that's a cut! Let's start from the beginning, everyone.
#Person2#: What was the problem that time?
#Person1#: The feeling was all wrong, Mike. She is telling you that she doesn't want to see you any more, but I want to get more anger from you. You're acting hurt and sad, but that's not how your character would act in this situation.
#Person2#: But Jason and Laura have been together for three years. Don't you think his reaction would be one of both anger and sadness?
#Person1#: At this point, no. I think he would react the way most guys would, and then later on, we would see his real feelings.
#Person2#: I'm not so sure about that.
#Person1#: Let's try it my way, and you can see how you feel when you're saying your lines. After that, if it still doesn't feel right, we can try something else.",#Person1# thinks Mike's acting is wrong and asks him to try it #Person1#'s way first. Mike isn't sure but agrees.
test_34,"#Person1#: Well, I'll see you later, Mrs. Todd. My wife is waiting for me to take her shopping.
#Person2#: I understand. There's a lot to get done at weekends, especially when you two work and the children are small.
#Person1#: That's right. Jane and I have been talking about visiting you. So when I saw you in the garden, I decided to come over and say hello.
#Person2#: I'm glad you did. In fact, I should have called on you first, since you have newly moved here.
#Person1#: By the way, do you need anything from the store?
#Person2#: No, but thanks for the offer. And thank you for coming over.
#Person1#: It's a pleasure.",#Person1# visits Mrs. Todd and says hello. Mrs. Todd thanks him for coming over.
test_35,"#Person1#: What's the matter, Bill? You look kind of pale.
#Person2#: Oh, I'm just tired.
#Person1#: Why?
#Person2#: Well, I've been working until around ten every night this week.
#Person1#: You should go home at quitting time today and take it easy.
#Person2#: Yes. I think I will.
#Person1#: That's good. Say, how's your brother?
#Person2#: He's fine, but he is awfully busy. He went to the States on a business trip two weeks ago.
#Person1#: Oh, really? Is he back yet?
#Person2#: No, he won't come back for several more weeks.
#Person1#: Wow! He must have a lot to do there.
#Person2#: Yes, he does.
#Person1#: I want to be sure of the time because I'm going to meet a friend at five o'clock sharp.
#Person2#: Well, my watch says 4:30, and that time should be right. I set it with the radio yesterday.
#Person1#: Good.",Bill tells #Person1# he looks pale because he's been working until around ten every night this week. He also tells #Person1# his brother is awfully busy and went to the States on a business trip.
test_36,"#Person1#: Are you going to the demonstration to help stop the spread of nuclear weapons tomorrow, Cleo?
#Person2#: No, Simon. I hate demonstrations. I have heard the police will be standing by with tear gas.
#Person1#: Yes, but North Korea boasts it has nuclear arms.
#Person2#: One hundred ninety countries have signed the Nuclear Non-Proliferation Treaty but the issues are just too complex. There are two sides to every story. I don't understand it and I have no intention of going to a demonstration. Demonstrations don't seem to accomplish anything anyway.
#Person1#: Several demonstrations have changed politician's minds throughout history. As a responsible citizen I think it is important to stand up for what you believe in.
#Person2#: Leave it to someone else. As I said, if you listen to both sides of a story, both sides have some good points. Why should I demonstrate and risk getting hurt for something that I am not even sure is right?
#Person1#: You are not likely to get hurt. This will be a peaceful demonstration. I have spoken to the organizer for the university group. He insists that this will be peaceful. He advocates if you want world peace, peace begins at home-and that means right here in this city.
#Person2#: You go if you want, Simon, but I plan to study for my physics exam.
#Person1#: It would only take two hours of your day. The bus leaves the campus at 11:30 and leaves downtown to return to campus at 12:45. You could eat your lunch on the bus.
#Person2#: I am not going, Simon. Why don't you ask the students in your political science class this afternoon if they want to go?
#Person1#: They are all going.
#Person2#: Okay, Simon. I need to meet my sister for coffee now.
#Person1#: Bye then. See you in physics class tomorrow.",Simon invites Cleo to the demonstration to help stop the spread of nuclear weapons tomorrow. Cleo refuses because she hates demonstrations and she thinks it doesn't accomplish anything. Simon insists that the demonstration will be peaceful and invites Cleo to ask the students in her political science class. Cleo refuses.
test_37,"#Person1#: It's partly your own fault. You should never let in anyone like that unless you're expecting him.
#Person2#: It's all very well to say that, but someone cones to the door and says 'electricity' or 'gas' and you automatically think he is OK, especially if he shows you a card.",#Person1# thinks it's #Person2#'s fault to let someone in. #Person2# thinks it's understandable.
test_38,"#Person1#: Maggie, can I borrow your notes for history? I'll return them tomorrow.
#Person2#: Sorry, but I usually go to the cafeteria and review them. Why not copy them in the library?
#Person1#: OK.
#Person2#: Here you are.
#Person1#: You are a great help, Maggie.
#Person2#: I don't quite understand a why you need my notes, Mark? You haven't missed any classes.
#Person1#: To be honest, I work in supermarket from 7 to 10 o'clock every evening.
#Person2#: I see. So you're pretty tired when you come to class.
#Person1#: That's exactly why I want to borrow your notes. My notes aren't very good.
#Person2#: So what do you usually do in class?
#Person1#: I'm always awake at the beginning, but thirty minutes after class begins I feel sleepy and have trouble keeping my eyes open.
#Person2#: Well, I need someone to study with and you need someone to keep you awake. Can we be study partners?
#Person1#: Oh sure. That's a good idea. So give me a push when you see me sleeping in class.
#Person2#: OK. Let's start today in the library. We are going there anyway and I don't have to go to the cafeteria.
#Person1#: Sounds good.",Mark wants to borrow Maggie's notes for history because he works in the supermarket from 7 to 10 o'clock every evening and feels tired in class. Maggie agrees. They decide to be study partners.
test_39,"#Person1#: Come in, come in! Can I help you?
#Person2#: Professor Turner, are you giving your Advanced Geology course again next semester?
#Person1#: Yes.
#Person2#: I wonder if I could enroll in it, I know it's a graduate course and I'm only a junior, but...
#Person1#: Aren't you a bit young? I've allowed qualified seniors to take the course and they usually have a hard time to keep up.
#Person2#: I know, but the geology of the American West is my favorite interest and I've read a lot in the field. Last semester I took Professor Burman's course and I didn't find it challenging enough.
#Person1#: I see. You certainly aren't one of those students who are out for easy grades.
#Person2#: I should say not. I really want to learn something.
#Person1#: Well, I'll speak to Professor Burman, if he thinks you're ready, I'll let you enroll.
#Person2#: Oh, thanks. Prof. Turner, that's very nice of you.",#Person2# wants to enroll in Professor Turner's Advanced Geology course but #Person2# is only a junior. Turner will speak to Professor Burman and let #Person2# enroll if Burman thinks #Person2# is ready.
test_40,"#Person1#: Hello, I bought the pendant in your shop, just before. 
#Person2#: Yes. Thank you very much. 
#Person1#: Now I come back to the hotel and try to show it to my friend, the pendant is broken, I'm afraid. 
#Person2#: Oh, is it? 
#Person1#: Would you change it to a new one? 
#Person2#: Yes, certainly. You have the receipt? 
#Person1#: Yes, I do. 
#Person2#: Then would you kindly come to our shop with the receipt by 10 o'clock? We will replace it. 
#Person1#: Thank you so much. ",#Person2# tells #Person1# to come to the shop with the receipt by 10 o'clock so that #Person2# will replace #Person1#'s broken pendant.
test_41,"#Person1#: What do you think of this one? 
#Person2#: Eh, so so. 
#Person1#: And this one? Too flashy? 
#Person2#: Nah, not too flashy. 
#Person1#: Uhg! And this sweater from my aunt? Isn't it hideous? 
#Person2#: I guess. 
#Person1#: Are you even listening? I'm trying to have a conversation with you. 
#Person2#: And I'm trying to watch the game, but you're yapping on about your new clothes! 
#Person1#: Well I have to decide which gifts to keep and which to exchange for better ones when I go to the Boxing Day sales this afternoon! 
#Person2#: Well could you do me the favor of making this quick? It's the third quarter and you've been blabbering on since the first! 
#Person1#: Oh, your precious game. You watch the same game every year, and each year your beloved hometown team loses by at least three goals! 
#Person2#: Oh no you didn't. You didn't just insult the Sals-bury Seals, did you? Why don't you just. just go and return all of those stupid clothes and not come back until the sales are over? 
#Person1#: I might just! Enjoy your stupid game! ",FinishReason.SAFETY
